发布人,时间,标题,NULL,内容
"
					
						
						刘昕雨",2017-03-09 16:29:41,《DSP技术及应用实验》开课通知,,"课程名称：DSP技术及应用实验
课程编号：X16EE0902、X16EE1902、Z08EE1902
任课老师：郭万有
开课时间：3月18日（第三周周六）
上课地点：南校区E楼II区-407
    由于DSP实验室设于新校区，需要同学们自行前往新校区上课，请同学们相互转告，务必准时到课并加入QQ群：538165139，便于讨论交流。",
"
					
						
						刘昕雨",2017-03-08 14:43:26,《非线性信号与图像处理》课程时间调整通知,,"课程名称：非线性信号与图像处理
课程编号：X16EE0111、X16EE1111、Z08EE1344 
上课时间：由03月08日(第2周星期三)晚上改到06月30日(第18周星期五)晚上
上课地点：不变",
"
					
						
						刘昕雨",2017-03-08 14:35:20,《双/多基地雷达系统》课程时间调整通知,,"课程名称：双/多基地雷达系统 
课程编号：X17EE1276、Z08EE1275 
上课时间：第2周周三晚改到第13周周三晚
上课地点：不变",
"
					
						
						雍小克",2017-03-07 15:36:18,通信网综合实验选课通知,,通信网综合实验选课通知,《宽带通信网络综合实验》（X17TE0901，X17TE1901，Z08TE1901）选课通知.doc
"
					
						
						艾科",2017-03-07 11:46:45,X11ME1271 MEMS微尺度力学分析 上课地点调整,,由机电院开设的X11ME1271 MEMS微尺度力学分析，上课地点调整为J508，上课地点不变。,
"
					
						
						艾科",2017-03-07 11:34:24,X10ME1121/Z06ME1255模式识别原理 上课时间调整,,由机电工程学院开设的X10ME1121/Z06ME1255《模式识别原理》课程，上课时间调整为周五晚（2-17周），上课地点J-501。,
"
					
						
						杜小刚",2017-03-06 14:46:43,《信息安全综合实验》上课时间调整通知,,课程名称：《信息安全综合实验》 课程编号：X31CE0900、X31CE1900 Z08CE1903，任课教师：朱辉 因任课教师出差，03月06日(第2周星期一)晚上课程调整停课一次，第三周开始上课，课程安排后延一次，请相关学生相互转告。,
"
					
						
						刘昕雨",2017-03-05 20:47:02,《自适应图像分析与识别》上课时间调整通知,,"课程名称：自适应图像分析与识别
课程编号：X17EE0313、X17EE1313
任课教师：侯彪
因任课教师出差，03月06日(第2周星期一)晚上课程调整到06月12日(第16周星期一）晚上，上课地点不变。",
"
					
						
						艾科",2017-03-03 17:34:45,Z04/X11ME1209 可视化与虚拟设计上课地点调整,,由机电工程学院开设的<Z04/X11ME1209 可视化与虚拟设计>课程，上课地点调整为主楼III-134办公/实验室，上课时间不变。,
"
					
						
						艾科",2017-03-01 10:29:34,X33ME1254并联机器人技术课程上课地点调整的通知,,由机电工程学院开设的<X33ME1254并联机器人技术>课程，上课地点调整为北校区新科技楼A201会议室，上课时间不变。,
